District_Name,Geocode
NICOBARS,"9.157343, 92.761087"
NORTH AND MIDDLE ANDAMAN,"12.6982149,92.8577105"
SOUTH ANDAMANS,"11.8311681, 92.6586401"
ANANTAPUR,"14.70, 77.59"
CHITTOOR,"13.217176,79.1003289"
EAST GODAVARI,"17.32125,82.0407137"
GUNTUR,"16.3066525,80.4365402"
KADAPA,"14.47, 78.22"
KRISHNA,"16.1667,81.1333"
KURNOOL,"15.8281257,78.0372792"
PRAKASAM,"15.348463,79.560344"
SPSR NELLORE,"14.4425987, 79.98645599999999"
SRIKAKULAM,"18.2969747,83.8967813"
VISAKHAPATANAM,"17.6868159, 83.2184815"
VIZIANAGARAM,"18.1066576,83.3955506"
WEST GODAVARI,"16.9174181,81.3399414"
ANJAW,"27.1305856,95.7342373"
CHANGLANG,"27.1305856,95.7342373"
DIBANG VALLEY,"28.8128767,96.1526985"
EAST KAMENG,"27.4231261,93.0175712"
EAST SIANG,"28.1097051,95.1432068"
KURUNG KUMEY,"29.9695121,76.878282"
LOHIT,"27.9039651,96.1739116"
LONGDING,"26.8728344,95.2969718"
LOWER DIBANG VALLEY,"28.1221395,94.3663904"
LOWER SUBANSIRI,"27.6138852,93.8451731"
NAMSAI,"27.6697841,95.8539426"
PAPUM PARE,"27.1719019,93.7029002"
TAWANG,"27.5780678,91.8757422"
TIRAP,"26.9942703,95.5407299"
UPPER SIANG,"28.7588781,95.2266675"
UPPER SUBANSIRI,"27.786802,94.3359635"
WEST KAMENG,"27.3427633,92.302446"
WEST SIANG,"28.147254,94.7484518"
BAKSA,"26.34, 91.25"
BARPETA,"26.3167,91"
BONGAIGAON,"26.4667,90.5667"
CACHAR,"24.7821253,92.8577105"
CHIRANG,"26.6351245,90.3591686"
DARRANG,"26.4522876,92.027319"
DHEMAJI,"27.4811106,94.5572847"
DHUBRI,"26.0333,89.9667"
DIBRUGARH,"27.4728327,94.9119621"
DIMA HASAO,"25.3886551,92.4575006"
GOALPARA,"26.1667,90.6167"
GOLAGHAT,"26.508961,93.969543"
HAILAKANDI,"24.6833,92.5667"
JORHAT,"26.75602,94.20945"
KAMRUP,"26.3160819,91.5983959"
KAMRUP METRO,"26.3160819, 91.5983959"
KARBI ANGLONG,"26.186085,93.5812692"
KARIMGANJ,"24.8667,92.35"
KOKRAJHAR,"26.4014362,90.266699"
LAKHIMPUR,"27.2063587,94.1513764"
MARIGAON,"26.2528853,92.336955"
NAGAON,"26.3509596,92.6919937"
NALBARI,"26.4446185,91.4410527"
SIVASAGAR,"26.9877865,94.6254385"
SONITPUR,"26.6738851,92.8577105"
TINSUKIA,"27.5,95.3667"
UDALGURI,"26.7183479,91.7585544"
ARARIA,"26.1333333,87.4666667"
ARWAL,"25.2440189,84.6662199"
AURANGABAD,"19.8761653,75.3433139"
BANKA,"24.8833,86.9167"
BEGUSARAI,"25.4167,86.1333"
BHAGALPUR,"25.25,87.0333"
BHOJPUR,"25.466155,84.5222189"
BUXAR,"25.5647103,83.9777482"
DARBHANGA,"26.1667,85.9"
GAYA,"24.7954523,84.999431"
GOPALGANJ,"26.4678389,84.443231"
JAMUI,"24.9167,86.2167"
JEHANABAD,"25.2166667,84.9833333"
KAIMUR (BHABUA),"25.05,83.6167"
KATIHAR,"25.5338951,87.555961"
KHAGARIA,"25.5111515,86.476908"
KISHANGANJ,"26.3077923,87.7763333"
LAKHISARAI,"25.1673614,86.0988253"
MADHEPURA,"25.9169444,86.7786111"
MADHUBANI,"26.3468544,86.0715474"
MUNGER,"25.3833,86.4667"
MUZAFFARPUR,"26.1208876,85.3647201"
NALANDA,"25.1833,85.5167"
NAWADA,"24.8833,85.5333"
PASHCHIM CHAMPARAN,"27.0504829,83.7373653"
PATNA,"25.6125,85.1283333"
PURBI CHAMPARAN,"26.6374331,84.3259144"
PURNIA,"25.78,87.47"
ROHTAS,"24.6287405,83.9201656"
SAHARSA,"25.8833,86.6"
SAMASTIPUR,"25.8629679,85.7810263"
SARAN,"46.9927021,22.6138097"
SHEIKHPURA,"25.1416937,85.8628915"
SHEOHAR,"26.5167,85.3"
SITAMARHI,"26.6,85.4833333"
SIWAN,"26.2238742,84.3611146"
SUPAUL,"26.1083333,86.6011111"
VAISHALI,"26.0038178,85.0817825"
CHANDIGARH,"30.7399738,76.7567368"
BALOD,"20.7314193,80.8804103"
BALODA BAZAR,"21.6580652,82.1405486"
BALRAMPUR,"27.4333,82.1833"
BASTAR,"19.1071317,81.9534815"
BEMETARA,"21.7131174,81.5267729"
BIJAPUR,"16.7597804,75.6706874"
BILASPUR,"22.0631449,82.0683829"
DANTEWADA,"18.9,81.35"
DHAMTARI,"20.7072,81.5497"
DURG,"21.1833,81.2833"
GARIYABAND,"20.6316246,82.0533616"
JANJGIR-CHAMPA,"21.9705529,82.4752757"
JASHPUR,"22.8874202,84.1382368"
KABIRDHAM,"22.1149417,80.6326362"
KANKER,"20.2719,81.4931"
KONDAGAON,"19.5943083,81.651301"
KORBA,"22.35,82.6833"
KOREA,"23.4308003,81.6149783"
MAHASAMUND,"21.1091317,82.0979023"
MUNGELI,"22.0648598,81.6775775"
NARAYANPUR,"19.723535,81.2424108"
RAIGARH,"21.9,83.4"
RAIPUR,"21.2513844,81.6296413"
RAJNANDGAON,"21.0971034,81.0302222"
SUKMA,"18.4005365,81.6472537"
SURAJPUR,"23.2216124,82.8310105"
SURGUJA,"22.9494079,83.1649001"
DADRA AND NAGAR HAVELI,"20.2076614,72.9333287"
NORTH GOA,"15.5163112,73.9830029"
SOUTH GOA,"15.11766,74.123996"
AHMADABAD,"23.0204975,72.4393109"
AMRELI,"21.6167,71.2333"
ANAND,"22.5667,72.9333"
BANAS KANTHA,"24.2684901,71.5781197"
BHARUCH,"21.7051358,72.9958748"
BHAVNAGAR,"21.7644725,72.1519304"
DANG,"20.824788,73.4257904"
DOHAD,"22.8494755,74.217581"
GANDHINAGAR,"23.2208519,72.5753354"
JAMNAGAR,"22.4707019,70.05773"
JUNAGADH,"21.522184,70.4578768"
KACHCHH,"23.7337326,69.8597406"
KHEDA,"22.7495087,72.6831136"
MAHESANA,"23.5879607,72.3693252"
NARMADA,"21.8757175,73.5594128"
NAVSARI,"20.945263,72.9342451"
PANCH MAHALS,"22.8011177,73.5594128"
PATAN,"23.850809,72.114838"
PORBANDAR,"21.6417069,69.6292654"
RAJKOT,"22.3038945,70.8021599"
SABAR KANTHA,"23.8684318,72.511579"
SURAT,"21.195,72.819444"
SURENDRANAGAR,"22.7231822,71.6114619"
TAPI,"21.2788724,73.6065223"
VADODARA,"22.3071588,73.1812187"
VALSAD,"20.5992349,72.9342451"
AMBALA,"30.3781788,76.7766974"
BHIWANI,"28.7990445,76.1335112"
FARIDABAD,"28.4089123,77.3177894"
