,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
230,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300.0,200.0
255,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,400.0,200.0
284,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Wheat,439.0,294.0
326,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Wheat,520.0,297.0
372,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Wheat,307.0,213.0
415,Andhra Pradesh,ANANTAPUR,2002,Rabi       ,Wheat,362.0,333.0
473,Andhra Pradesh,ANANTAPUR,2003,Rabi       ,Wheat,414.0,123.0
526,Andhra Pradesh,ANANTAPUR,2004,Rabi       ,Wheat,393.0,88.0
566,Andhra Pradesh,ANANTAPUR,2005,Rabi       ,Wheat,297.0,175.0
606,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Wheat,190.0,50.0
662,Andhra Pradesh,ANANTAPUR,2008,Rabi       ,Wheat,164.0,217.0
702,Andhra Pradesh,ANANTAPUR,2009,Rabi       ,Wheat,179.0,97.0
741,Andhra Pradesh,ANANTAPUR,2010,Rabi       ,Wheat,131.0,171.0
787,Andhra Pradesh,ANANTAPUR,2011,Rabi       ,Wheat,75.0,100.0
854,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Wheat,134.0,151.0
916,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Wheat,62.0,39.0
926,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Wheat,62.0,39.0
1107,Andhra Pradesh,CHITTOOR,2000,Rabi       ,Wheat,5.0,3.0
1153,Andhra Pradesh,CHITTOOR,2001,Rabi       ,Wheat,4.0,
1198,Andhra Pradesh,CHITTOOR,2002,Rabi       ,Wheat,5.0,7.0
1258,Andhra Pradesh,CHITTOOR,2003,Rabi       ,Wheat,7.0,2.0
1317,Andhra Pradesh,CHITTOOR,2004,Rabi       ,Wheat,2.0,
1401,Andhra Pradesh,CHITTOOR,2006,Rabi       ,Wheat,4.0,1.0
3035,Andhra Pradesh,GUNTUR,2010,Rabi       ,Wheat,43.0,56.0
3285,Andhra Pradesh,KADAPA,1998,Rabi       ,Wheat,100.0,
3315,Andhra Pradesh,KADAPA,1999,Rabi       ,Wheat,163.0,109.0
3359,Andhra Pradesh,KADAPA,2000,Rabi       ,Wheat,117.0,67.0
3407,Andhra Pradesh,KADAPA,2001,Rabi       ,Wheat,39.0,27.0
3450,Andhra Pradesh,KADAPA,2002,Rabi       ,Wheat,30.0,28.0
3505,Andhra Pradesh,KADAPA,2003,Rabi       ,Wheat,39.0,12.0
3560,Andhra Pradesh,KADAPA,2004,Rabi       ,Wheat,1.0,
3602,Andhra Pradesh,KADAPA,2005,Rabi       ,Wheat,81.0,48.0
3644,Andhra Pradesh,KADAPA,2006,Rabi       ,Wheat,32.0,8.0
3706,Andhra Pradesh,KADAPA,2008,Rabi       ,Wheat,122.0,83.0
3750,Andhra Pradesh,KADAPA,2009,Rabi       ,Wheat,61.0,79.0
3796,Andhra Pradesh,KADAPA,2010,Rabi       ,Wheat,20.0,26.0
3844,Andhra Pradesh,KADAPA,2011,Rabi       ,Wheat,17.0,22.0
3919,Andhra Pradesh,KADAPA,2012,Rabi       ,Wheat,2.0,2.0
3982,Andhra Pradesh,KADAPA,2013,Rabi       ,Wheat,12.0,8.0
3990,Andhra Pradesh,KADAPA,2013,Whole Year ,Wheat,12.0,8.0
4053,Andhra Pradesh,KADAPA,2014,Rabi       ,Wheat,274.0,195.0
4718,Andhra Pradesh,KURNOOL,1997,Rabi       ,Wheat,600.0,300.0
4748,Andhra Pradesh,KURNOOL,1998,Rabi       ,Wheat,700.0,400.0
4778,Andhra Pradesh,KURNOOL,1999,Rabi       ,Wheat,789.0,529.0
4825,Andhra Pradesh,KURNOOL,2000,Rabi       ,Wheat,850.0,484.0
4873,Andhra Pradesh,KURNOOL,2001,Rabi       ,Wheat,1264.0,876.0
4917,Andhra Pradesh,KURNOOL,2002,Rabi       ,Wheat,941.0,867.0
4978,Andhra Pradesh,KURNOOL,2003,Rabi       ,Wheat,694.0,206.0
5037,Andhra Pradesh,KURNOOL,2004,Rabi       ,Wheat,393.0,88.0
5082,Andhra Pradesh,KURNOOL,2005,Rabi       ,Wheat,711.0,418.0
5126,Andhra Pradesh,KURNOOL,2006,Rabi       ,Wheat,670.0,176.0
5194,Andhra Pradesh,KURNOOL,2008,Rabi       ,Wheat,747.0,405.0
5235,Andhra Pradesh,KURNOOL,2009,Rabi       ,Wheat,550.0,251.0
5278,Andhra Pradesh,KURNOOL,2010,Rabi       ,Wheat,563.0,808.0
5322,Andhra Pradesh,KURNOOL,2011,Rabi       ,Wheat,221.0,243.0
5389,Andhra Pradesh,KURNOOL,2012,Rabi       ,Wheat,314.0,421.0
