Unnamed: 0,Latitude,Longitude,Date,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,pressure,temperatureMax,temperatureMin,visibility,windBearing,windSpeed,Geocode,District_Name,State_Name,Crop_Year,Season,Crop,Area,Production,daysInSeason
295,31.6339793,74.8722642,2012-10-22,85.85,64.0,0.16,60.16,0.65,0.0,0.0,0.0,,,1011.63,85.77,63.72,2.71,277.0,1.62,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,0
296,31.6339793,74.8722642,2012-10-23,85.77,59.5,0.3,60.4,0.67,0.0,0.0,0.0,,,1011.81,85.77,59.5,2.4,261.0,3.04,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,1
297,31.6339793,74.8722642,2012-10-24,81.1,58.82,0.17,57.87,0.66,0.0,0.0,0.0,,,1011.99,80.58,58.82,3.3,354.0,2.94,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,2
298,31.6339793,74.8722642,2012-10-25,81.54,57.71,0.01,57.35,0.66,0.0,0.0,0.0,,,1012.16,81.54,57.71,2.67,299.0,1.89,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,3
299,31.6339793,74.8722642,2012-10-26,83.17,55.64,0.01,57.87,0.63,0.0,0.0,0.0,,,1012.34,83.17,55.64,2.74,293.0,0.35,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,4
300,31.6339793,74.8722642,2012-10-27,82.27,54.96,0.1,56.09,0.66,0.0,0.0,0.0,,,1012.51,82.27,54.96,2.74,104.0,0.21,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,5
301,31.6339793,74.8722642,2012-10-28,83.37,57.0,0.29,59.27,0.7,0.0,0.0,0.0,,,1012.69,82.64,57.0,2.59,250.0,0.5,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,6
302,31.6339793,74.8722642,2012-10-29,87.26,59.78,0.0,59.89,0.69,0.0,0.0,0.0,,,1012.86,85.33,59.77,2.39,287.0,2.01,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,7
303,31.6339793,74.8722642,2012-10-30,84.59,57.03,0.01,60.03,0.67,0.0,0.0,0.0,,,1013.03,84.02,57.03,2.25,279.0,1.8,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,8
304,31.6339793,74.8722642,2012-10-31,85.56,57.78,0.01,60.7,0.67,0.0,0.0,0.0,,,1013.19,85.56,57.65,1.99,283.0,0.64,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,9
305,31.6339793,74.8722642,2012-11-01,86.08,57.03,0.01,61.68,0.73,0.0,0.0,0.0,,,1013.36,85.33,57.03,1.75,282.0,1.31,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,10
306,31.6339793,74.8722642,2012-11-02,84.44,56.09,0.02,58.06,0.66,0.0,0.0,0.0,,,1013.52,84.44,56.09,2.05,281.0,1.24,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,11
307,31.6339793,74.8722642,2012-11-03,84.26,56.09,0.01,58.81,0.67,0.0,0.0,0.0,,,1013.68,84.26,56.09,2.22,273.0,1.72,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,12
308,31.6339793,74.8722642,2012-11-04,86.42,56.36,0.01,60.39,0.71,0.0,0.0,0.0,,,1013.84,84.66,56.36,1.96,263.0,1.94,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,13
309,31.6339793,74.8722642,2012-11-05,84.38,56.54,0.08,59.74,0.7,0.0,0.0,0.0,,,1014.0,84.21,56.54,1.91,172.0,0.27,"31.6339793,74.8722642",AMRITSAR,Punjab,2013,Rabi       ,Wheat,188000.0,934000.0,14
